result_id,student_id,semester,marks,result
1,1,4,67,Pass
2,2,1,48,Pass
3,3,7,66,Pass
4,4,1,40,Pass
5,5,4,75,Pass
6,6,1,65,Pass
7,7,6,81,Pass
8,8,6,98,Pass
9,9,2,73,Pass
10,10,7,69,Pass
11,11,7,51,Pass
12,12,2,91,Pass
13,13,7,59,Pass
14,14,8,87,Pass
15,15,7,65,Pass
16,16,5,87,Pass
17,17,3,46,Pass
18,18,4,46,Pass
19,19,6,49,Pass
20,20,8,87,Pass
21,21,1,40,Pass
22,22,8,74,Pass
23,23,7,41,Pass
24,24,2,71,Pass
25,25,6,58,Pass
26,26,5,62,Pass
27,27,8,47,Pass
28,28,1,42,Pass
29,29,3,38,Fail
30,30,4,69,Pass
31,31,4,70,Pass
32,32,2,84,Pass
33,33,3,96,Pass
34,34,8,62,Pass
35,35,3,94,Pass
36,36,5,86,Pass
37,37,3,56,Pass
38,38,4,45,Pass
39,39,2,100,Pass
40,40,6,94,Pass
41,41,8,83,Pass
42,42,6,91,Pass
43,43,5,94,Pass
44,44,8,95,Pass
45,45,7,94,Pass
46,46,1,46,Pass
47,47,6,65,Pass
48,48,5,41,Pass
49,49,4,74,Pass
50,50,3,91,Pass
51,51,3,62,Pass
52,52,4,67,Pass
53,53,1,39,Fail
54,54,1,91,Pass
55,55,6,97,Pass
56,56,6,39,Fail
57,57,8,57,Pass
58,58,5,86,Pass
59,59,5,44,Pass
60,60,1,82,Pass
61,61,8,94,Pass
62,62,2,95,Pass
63,63,2,97,Pass
64,64,2,74,Pass
65,65,8,59,Pass
66,66,7,38,Fail
67,67,5,40,Pass
68,68,7,64,Pass
69,69,4,49,Pass
70,70,7,86,Pass
71,71,7,52,Pass
72,72,4,74,Pass
73,73,7,36,Fail
74,74,8,100,Pass
75,75,4,78,Pass
76,76,6,67,Pass
77,77,2,77,Pass
78,78,2,59,Pass
79,79,8,55,Pass
80,80,6,38,Fail
81,81,3,97,Pass
82,82,4,87,Pass
83,83,7,82,Pass
84,84,6,69,Pass
85,85,5,98,Pass
86,86,7,76,Pass
87,87,7,82,Pass
88,88,3,41,Pass
89,89,5,63,Pass
90,90,1,64,Pass
91,91,5,57,Pass
92,92,6,90,Pass
93,93,5,44,Pass
94,94,1,48,Pass
95,95,1,41,Pass
96,96,8,47,Pass
97,97,7,49,Pass
98,98,1,89,Pass
99,99,8,36,Fail
